Date,P (cm),T (degC),ObvQ (cms)
4/28/2013,0.916,19.625,47.56944444
4/29/2013,0.004,21.8,39.20949074
4/30/2013,0.153,22.575,33.62962963
5/1/2013,1.336,14.73333333,44.8599537
5/2/2013,0.059,17.16666667,35.26967593
5/3/2013,0.376,17.94166667,31.37037037
5/4/2013,0.209,21.45,29.42939815
5/5/2013,1.866,22.675,29.67013889
5/6/2013,1.279,21.85416667,60.17013889
5/7/2013,1.528,22.05416667,53.79976852
5/8/2013,0.661,22.8875,49.96990741
5/9/2013,0.06,23.0625,39.8287037
5/10/2013,0.014,23.67083333,33.79050926
5/11/2013,5.129,20.27083333,96.18055556
5/12/2013,3.435,20.31666667,106.2395833
5/13/2013,0.39,21.37083333,112.1701389
5/14/2013,0.048,22.93333333,70.78009259
5/15/2013,0.485,22.77083333,59.76967593
5/16/2013,0.164,23.3875,57.20949074
5/17/2013,1.876,23.6875,62.09953704
5/18/2013,0.086,23.92916667,53.43055556
5/19/2013,0.091,24.7625,45.31018519
5/20/2013,0.823,23.7625,57.84027778
5/21/2013,4.41,22.45416667,157.3900463
5/22/2013,0.735,22.45,99.87037037
5/23/2013,0.861,23.18333333,78.3900463
5/24/2013,0.703,23.025,96.40972222
5/25/2013,0.199,24.60833333,70.04976852
5/26/2013,0.104,23.82916667,55.23958333
5/27/2013,0,25.48333333,47.84953704
5/28/2013,0.026,25.81666667,41.23958333
5/29/2013,0.465,25.34166667,40.08912037
5/30/2013,0.425,25.66666667,34.73032407
5/31/2013,0.03,25.79166667,34.62962963
6/1/2013,0.01,26.23333333,29.43981481
6/2/2013,0.145,26.25833333,29.3599537
6/3/2013,0.056,25.10833333,22.26967593
6/4/2013,2.132,22.77916667,42.59027778
6/5/2013,0.286,23.2,37.8599537
6/6/2013,0.205,24.64583333,31.93981481
6/7/2013,0,25.40416667,25.18055556
6/8/2013,0,26.29166667,24.59953704
6/9/2013,0.116,25.32083333,23.1099537
6/10/2013,0.101,24.87083333,23.81944444
6/11/2013,1.637,23.86666667,30.48032407
6/12/2013,1.191,23.90416667,28.84027778
6/13/2013,0.097,24.35833333,29.1400463
6/14/2013,1.007,24.5625,24.92013889
6/15/2013,0.403,25.8125,23.95023148
6/16/2013,0,25.4,20.54050926
6/17/2013,0.268,24.44166667,20.51041667
6/18/2013,0.144,26.0375,18.17013889
6/19/2013,0,25.9,18.51967593
6/20/2013,0,25.80833333,17.29976852
6/21/2013,1.26,25.97083333,20.17013889
6/22/2013,0.944,25.64583333,27.51041667
6/23/2013,2.33,24.92916667,35.56018519
6/24/2013,0.533,25.42916667,30.8599537
6/25/2013,0.014,25.52083333,28.98032407
6/26/2013,0,26.31666667,20.46990741
6/27/2013,0,26.5,18.32986111
6/28/2013,0.01,26.29583333,17.06018519
6/29/2013,0.01,26.47916667,17
6/30/2013,0.139,26.17083333,16.06018519
7/1/2013,0.017,25.9625,16.40046296
7/2/2013,1.549,26.48333333,19.15972222
7/3/2013,0.01,26.4125,19.6099537
7/4/2013,0.352,26.55833333,16.45023148
7/5/2013,3.046,25.0375,28.84953704
7/6/2013,1.283,24.70416667,36.68981481
7/7/2013,1.001,23.99166667,35.8900463
7/8/2013,0.571,24.10833333,36.43981481
7/9/2013,0.053,24.44166667,25.57986111
7/10/2013,0.004,24.60416667,23.8900463
7/11/2013,0,25.3125,18.31944444
7/12/2013,8.529,24.17083333,54.34027778
7/13/2013,29.372,23.04583333,2178.939815
7/14/2013,2.033,24.52916667,395
7/15/2013,0.783,24.04583333,228.3194444
7/16/2013,0,25.07083333,164.7395833
7/17/2013,1.61,25.50416667,129.8599537
7/18/2013,0.057,25.30833333,116.4594907
7/19/2013,0.032,24.93333333,94.18055556
7/20/2013,0.022,25.8875,81.37037037
7/21/2013,0.012,25.82083333,72.31018519
7/22/2013,0,26.27083333,65.20023148
7/23/2013,0,26.01666667,58.8900463
7/24/2013,0.025,25.85833333,54.84953704
7/25/2013,0.104,24.82083333,49.37962963
7/26/2013,1.776,24.2875,45.31944444
7/27/2013,0.057,25.64583333,57.20949074
7/28/2013,0.024,25.29166667,48.09027778
7/29/2013,0.419,26.06666667,43.93055556
7/30/2013,0.514,24.96818182,39.87962963
7/31/2013,1.19,24.47083333,60.79050926
8/1/2013,0.13,25.5625,41.23958333
8/2/2013,0.14,25.18333333,35.45949074
8/3/2013,0,26.1,32.40046296
8/4/2013,0,26.9875,29.76041667
8/5/2013,0,27.35,31.75
8/6/2013,0,26.85,28.43055556
8/7/2013,0.052,26.2125,26.48032407
8/8/2013,0.068,27.4125,26.8900463
8/9/2013,0,26.925,27.68981481
8/10/2013,0,26.32083333,24.34027778
8/11/2013,0.008,26.42083333,24.54976852
8/12/2013,0.004,27.52916667,23.48032407
8/13/2013,0.06,26.86666667,22.23032407
8/14/2013,4.56,24.62083333,48.03009259
8/15/2013,0.078,24.13333333,39.87037037
8/16/2013,1.044,23.95416667,34.20949074
8/17/2013,0.262,24.32083333,37.15046296
8/18/2013,0,24.77083333,26.45023148
8/19/2013,0,25.98333333,23.3599537
8/20/2013,9.916,23.3125,21
8/21/2013,28.026,23.83333333,902.6203704
8/22/2013,4.114,24.075,861.3900463
8/23/2013,6.833,24.00833333,380.7303241
8/24/2013,6.119,23.62916667,397.2002315
8/25/2013,0.012,24.64166667,290.1898148
8/26/2013,0,25.21666667,179.1898148
8/27/2013,0,26.46666667,133.6701389
8/28/2013,0.028,26.38333333,109.150463
8/29/2013,1.538,23.10833333,110.8703704
8/30/2013,0.335,23.975,92.78009259
8/31/2013,4.896,23.1875,106.2604167
9/1/2013,3.385,20.175,296.8599537
9/2/2013,0,21.27083333,163.8298611
9/3/2013,0,21.8375,114.9097222
9/4/2013,0.004,21.8875,89.68055556
9/5/2013,0,23.91666667,79.84953704
9/6/2013,0.052,24.70416667,69.6099537
9/7/2013,0.022,25.3125,61.42939815
9/8/2013,0,25.35833333,55.28009259
9/9/2013,0,26.51666667,52.23958333
9/10/2013,0,25.68333333,49.45949074
9/11/2013,0.008,25.57083333,44.80902778
9/12/2013,0.108,25.73333333,38.95023148
9/13/2013,0.393,24.6125,43.37962963
9/14/2013,0.072,24.69583333,42.09027778
9/15/2013,0.34,24.7125,36.53935185
9/16/2013,0.014,24.79130435,32.43981481
9/17/2013,0.024,24.02916667,30.09953704
9/18/2013,2.568,24.8625,34.31018519
9/19/2013,0.694,26.15,57.07986111
9/20/2013,5.963,24.67916667,48.09953704
9/21/2013,17.309,24.4625,650.8599537
9/22/2013,2.191,24.84583333,470.3796296
9/23/2013,0.329,24.0375,209.4398148
9/24/2013,0.022,24.76666667,143.2604167
9/25/2013,0,24.375,110.4895833
9/26/2013,0.079,20.99166667,94.12037037
9/27/2013,0.004,22.8875,82.40972222
9/28/2013,0.004,23.32916667,68.82986111
9/29/2013,0.038,24.83333333,60.73958333
9/30/2013,0.36,23.98333333,61.98958333
10/1/2013,0.082,23.52083333,58.47916667
10/2/2013,0.33,21.5625,49.37962963
10/3/2013,0.044,19.17916667,45.68981481
10/4/2013,0.153,19.65416667,45.26967593
10/5/2013,7.624,20.23333333,102.5405093
10/6/2013,17.934,21.68333333,951.1898148
10/7/2013,0.904,23.13333333,437.0196759
10/8/2013,1.055,22.86666667,224.4803241
10/9/2013,0.058,22.05416667,172.2199074
10/10/2013,0.004,22.92083333,128.7303241
10/11/2013,0.142,24.20416667,107.8101852
10/12/2013,1.681,22.90833333,113.0798611
10/13/2013,0.106,23.69166667,114.9895833
10/14/2013,0,22.9375,82.125
10/15/2013,0.021,20.51666667,74.01967593
10/16/2013,0.007,18.225,68.76041667
10/17/2013,0.06,20.09090909,60.80902778
10/18/2013,0.05,21.24583333,57.73032407
10/19/2013,0.075,21.61666667,53.67013889
10/20/2013,0.05,19.95833333,49.04976852
