Date,WSLO
12/1/1998,173.9659172
1/1/1999,184.9912184
2/1/1999,260.5149886
3/1/1999,159.2776948
4/1/1999,51.9604696
5/1/1999,21.27874004
6/1/1999,11.98557727
7/1/1999,8.026455839
8/1/1999,6.763159102
9/1/1999,6.789435918
10/1/1999,8.69692569
11/1/1999,39.21788864
12/1/1999,109.7049444
1/1/2000,102.5891949
2/1/2000,73.5456857
3/1/2000,72.29016901
4/1/2000,21.54723247
5/1/2000,18.37215276
6/1/2000,12.16208561
7/1/2000,6.629795889
8/1/2000,6.024180751
9/1/2000,7.93532431
10/1/2000,11.09289629
11/1/2000,9.244506517
12/1/2000,21.41118981
1/1/2001,15.35960566
2/1/2001,20.48824983
3/1/2001,18.05335987
4/1/2001,17.04768554
5/1/2001,13.04949905
6/1/2001,7.249112728
7/1/2001,4.601944295
8/1/2001,4.538916475
9/1/2001,4.1531375
10/1/2001,6.759505316
11/1/2001,35.27618359
12/1/2001,157.3777258
1/1/2002,132.6598591
2/1/2002,99.21009467
3/1/2002,76.7569232
4/1/2002,33.47428825
5/1/2002,15.03898588
6/1/2002,9.14256587
7/1/2002,7.45646512
8/1/2002,4.560839195
9/1/2002,6.198557719
10/1/2002,6.737582596
11/1/2002,8.445027549
12/1/2002,46.44784943
1/1/2003,95.82968955
2/1/2003,117.2620844
3/1/2003,103.2012041
4/1/2003,71.52835449
5/1/2003,24.61008003
6/1/2003,8.333638513
7/1/2003,4.905208587
8/1/2003,5.705396999
9/1/2003,6.591208553
10/1/2003,8.60557189
11/1/2003,14.40194818
12/1/2003,56.77710431
1/1/2004,83.39768045
2/1/2004,96.28704284
3/1/2004,44.5387459
4/1/2004,25.7673865
5/1/2004,12.42470153
6/1/2004,8.394057225
7/1/2004,5.086984473
8/1/2004,8.112319825
9/1/2004,7.470928026
10/1/2004,10.03055782
11/1/2004,11.77320092
12/1/2004,28.36799961
1/1/2005,36.1998913
2/1/2005,19.42839071
3/1/2005,26.84437057
4/1/2005,54.96016755
5/1/2005,37.86327768
6/1/2005,14.18013288
7/1/2005,7.098394028
8/1/2005,4.977370874
