date,Sb1_2,Sb2_3,Sb3_2,Sb4_6,Sb5_3,Sb6_2
1985-01-01,48.83026602739726,156.33545232876713,317.9849967123288,274.5198030136986,110.72034547945205,816.3490852054794
1986-01-01,75.80808,251.36306027397262,491.9016410958904,340.2722950684932,112.1430101369863,1114.5852167123287
1987-01-01,57.144249589041095,178.64097534246574,364.82028767123285,262.5041501369863,100.73892602739726,867.4691372602739
1988-01-01,42.800137978142075,159.6026426229508,300.3434866120219,217.26936092896176,88.56627759562842,713.3052330601093
1989-01-01,69.39815178082192,204.07066739726028,423.4485731506849,304.76219589041096,146.81703260273972,1064.0260684931507
1990-01-01,94.45584575342465,279.4396410958904,559.8977575342466,393.00369506849313,132.40623890410959,1303.1800739726027
1991-01-01,53.647232328767124,176.11751890410957,342.0903917808219,217.28191452054793,94.88548575342465,783.959267671233
1992-01-01,91.7504530054645,227.92353524590166,453.8169232240437,296.31723387978144,75.1836281420765,964.5901677595629
1993-01-01,102.56827123287671,249.04402520547944,559.5975227397261,408.97594904109593,168.53993232876712,1394.658225479452
1994-01-01,104.06844602739726,253.75230575342465,599.9509712328767,424.12197068493157,155.7607306849315,1429.342097260274
1995-01-01,50.94410191780822,275.7966466666667,311.8739893150685,220.6010383561644,96.20303534246577,773.053015890411
1996-01-01,131.4194150273224,,700.6121691256831,486.4818806010929,240.3416325136612,1799.7692532786884
1997-01-01,58.60120986301369,,313.4923178082192,244.70177506849313,121.84366547945204,825.4562536986301
1998-01-01,91.55868520547946,,489.5494021917808,292.5463079452055,157.17548794520548,1198.2743016438355
1999-01-01,49.45835808219178,,326.615038630137,220.1222901369863,87.63218356164383,780.5589175342466
2000-01-01,70.27011475409836,168.73454565217392,526.6624005464481,240.48430300546448,88.34330081967212,1020.6907942622951
2001-01-01,47.77323589041096,174.43076876712328,313.3604306849315,191.3148230136986,70.81407479452055,690.1793054794521
2002-01-01,64.84371671232877,257.0248824657534,444.23701808219175,271.53683643835615,84.97024356164383,944.1395232876712
2003-01-01,120.87522986301369,349.1133608219178,680.401844109589,455.7677895890411,215.02959863013697,1677.6839449315066
2004-01-01,124.2745956284153,315.3336191256831,616.4732256830602,466.44190437158466,193.5835581967213,1586.4010396174863
2005-01-01,95.55616849315068,283.8387605479452,530.5289205479453,292.17392493150686,115.37594383561644,1156.3048553424658
2006-01-01,105.46683315068492,352.26312547945207,618.1614147945205,310.76381342465754,100.76227835616439,1258.7676169863014
2007-01-01,72.08569150684932,255.81904630136987,466.252782739726,253.86603479452054,93.58151369863015,980.3827643835616
2008-01-01,76.76472513661203,252.80723797814207,498.938969125683,286.234812568306,137.1608480874317,1164.3090450819673
2009-01-01,54.37090767123288,231.3036402739726,423.17471315068497,262.57707397260276,105.81811534246575,984.1306715068494
2010-01-01,71.81928219178083,231.58874794520548,440.98872821917803,279.3082975342466,126.9573802739726,1033.872893150685
2011-01-01,145.7150797260274,408.4608136986302,895.3414490410959,527.7724904109589,222.49857589041096,2081.3914043835616
2012-01-01,53.21718032786885,166.95960683060107,336.4319912568306,250.62884781420763,108.6650475409836,880.4976448087431
2013-01-01,61.68991863013699,257.3753112328767,428.2011484931507,249.89500958904108,99.33200356164384,941.4668775342466
2014-01-01,66.71247260273974,217.38850739726027,414.39261342465755,269.2451098630137,106.30369397260273,988.67688
2015-01-01,60.6099997260274,184.63491808219177,360.9901446575343,283.79686849315067,90.03748383561644,892.1172123287672
2016-01-01,56.2982237704918,158.08452021857923,324.0360193989071,221.57692595628413,76.89160928961749,765.0012740437157
2017-01-01,84.48707753424657,277.4114569863014,530.814418630137,339.23504986301367,114.66639178082193,1146.3799939726027
2018-01-01,131.4039791780822,326.07352958904113,799.6025794520548,610.9922134246575,256.64217479452054,2052.5516671232876
2019-01-01,85.88654602739726,269.6188167123288,564.256224109589,405.00383123287673,149.05437287671234,1378.5540863013698
2020-01-01,67.88282786885246,198.59958469945357,406.99818934426236,278.957843715847,112.89408442622951,977.7575027322404
