Date,Sb3_1,Sb4_1,Sb4_2,Sb4_4,Sb4_3,Sb4_5,Sb4_6,Sb5_1,Sb5_3,Sb1_1,Sb5_2,Sb2_1,Sb2_2,Sb6_1,Sb3_2,Sb2_3,Sb1_2,Sb6_2
1984-01-01,0.10812116861343384,0.0,0.04792053699493408,0.0,0.0,0.00040051788091659545,0.0,0.0,0.0,0.00019152853637933732,0.0,0.03150026500225067,0.046351385116577146,0.0,0.020728208124637604,0.20070180892944336,0.12017958164215088,0.0
1984-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-01-05,0.009260805696249009,0.007340232282876969,0.012540550529956817,0.0,0.0,0.005020284652709961,0.0,0.0,0.0,0.0078066281974315645,0.0,0.33308892250061034,0.2496361494064331,0.0,0.0026770705357193948,0.11137144565582276,0.0278839111328125,0.0
1984-01-06,0.008954236656427384,0.11075849533081054,0.17899874448776246,0.0333688497543335,0.027700388431549074,0.034763485193252563,0.019448345899581908,0.10379201173782349,0.0038016386330127715,0.039319214224815366,0.0518530547618866,0.2569295883178711,0.13778048753738403,0.01583026200532913,0.10083889961242676,0.061191213130950925,0.03579165041446686,0.0
1984-01-07,0.0,0.0,4.075751348864287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10318077802658081,0.0,0.07919789552688598,0.020885223150253297,0.0,0.0,0.0,0.0,0.0
1984-01-08,0.14920657873153687,0.22259154319763183,0.23417458534240723,0.13663437366485595,0.16523419618606566,0.1519659161567688,0.1169775128364563,0.09342035055160522,0.05576272606849671,0.1032605767250061,0.1297761917114258,0.265219521522522,0.26258130073547364,0.22178516387939454,0.1541690230369568,0.18325501680374146,0.2004903793334961,0.02086002826690674
1984-01-09,0.22459022998809813,0.38660616874694825,0.9334661483764648,0.4467732906341553,0.2453848123550415,0.41214489936828613,0.18054481744766235,0.0,0.2546720504760742,0.5494146823883057,0.14234853982925416,0.5348982334136962,0.5627875328063965,0.2208712339401245,0.025694835186004638,0.2998429536819458,0.5312139511108398,0.0020538102835416794
1984-01-10,0.7593876838684082,0.4352757453918457,0.29807827472686765,0.4580946922302246,0.5940061569213867,0.5197115421295166,0.697737169265747,0.5808367252349853,0.5607446670532227,0.607189416885376,0.5150460720062255,0.7466703414916992,0.8909961700439453,0.6478913307189942,0.7153741359710694,0.6131012916564942,0.573878288269043,0.6051442623138428
