,1531000,1515000,1540500,1553500,1567000,1576000
3/1/1992,,,264353.4176,47386.75624,12697.40086,471055.292
4/1/1992,,,110631.0888,30753.5376,12260.59176,197312.52
5/1/1992,,,45418.16696,3937.17856,5722.970264,69603.6924
6/1/1992,,,36468.7968,3157.00032,4272.83664,68038.8
7/1/1992,,,14342.57904,39653.01264,1003.980533,51042.70776
8/1/1992,,,25872.88768,12570.84869,355.7522056,55682.95392
9/1/1992,,,16873.6224,7810.85424,586.494456,29528.8392
10/1/1992,,,17998.53056,2784.147696,271.3840936,20670.18744
11/1/1992,,,55247.5056,8464.02672,997.448808,156489.24
12/1/1992,,,31356.81496,10475.70724,6271.362992,86617.92832
1/1/1993,,,92945.53672,24326.13896,7747.804952,178579.1704
2/1/1993,,,3911.777408,1727.278336,869.989456,3860.975104
3/1/1993,,,617293.3528,187015.9816,76493.75488,793060.2528
4/1/1993,,,1442422.56,289845.288,78380.6976,2150026.08
5/1/1993,,,28403.93104,12205.25354,6088.565416,130770.5736
6/1/1993,,,3565.23312,650.450928,1918.69416,15240.6912
7/1/1993,,,1476.44196,681.975572,656.6651384,5497.988632
8/1/1993,,,2474.797952,1490.503312,423.2466952,8127.461456
9/1/1993,,,3225.03912,3306.68568,548.392728,9144.41472
10/1/1993,,,2966.945272,2446.675248,327.6295016,8914.897168
11/1/1993,,,84504.1896,67630.5672,51165.1776,225888.816
12/1/1993,,,53292.52408,20951.41448,18420.37112,187015.9816
1/1/1994,,,5624.5408,6102.626768,1160.06154,11994.33326
2/1/1994,,,71377.23712,31370.42272,27052.22688,309894.0544
3/1/1994,,,1369575.685,1341452.981,160299.4128,1192402.65
4/1/1994,,,375574.176,195951.744,23949.6576,406872.024
5/1/1994,,,18982.8252,11291.26566,4907.411848,100116.8262
6/1/1994,,,53342.4192,12546.35472,1837.0476,80149.7064
7/1/1994,,,79868.47936,5258.945648,801.497064,46824.30216
8/1/1994,,,320598.8256,109256.705,15045.64664,559641.8096
9/1/1994,,,35652.3312,14015.9928,515.734104,40006.8144
10/1/1994,,,10419.46183,2348.245784,143.4257904,26013.5012
11/1/1994,,,29528.8392,13879.9152,3919.03488,107093.0712
12/1/1994,,,39371.7856,15186.26016,7086.921408,132598.5494
